image_path,resolution,contrast,sharpness,quality
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\001a5220674e967f81f82cb697185757_tn-9885329975.jpeg,102400,765.55646,3379.7461735958104,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\001bc4eb0b46b2e159fa9841288e0a99_tn-157105874.jpeg,102400,1549.621,1024.7428693813326,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\004dd985c6eeaa5c7d32a38e91fa2ea7_tn-4128857819.jpeg,102400,557.04596,1821.366785994625,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\004f176d607ecfb78d33591d115b1dda_tn-92110437.jpeg,102400,887.73883,351.5422460876464,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\0053b75227367d71c62f0f7414ed88c2_tn-7362971361.jpeg,102400,2122.5234,3943.488339359188,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00a1dba83655514fe1485e5b3c250624_tn-8140924741.jpeg,102400,1796.8793,2742.675675108337,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00a2f4e223e908ff44476ca3b8948772_tn-17281203260.jpeg,102400,634.6175,1965.264452142334,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00a676478c0aa313802b413804919e20_tn-2772610397.jpeg,102400,3687.3804,674.4679685974121,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00a71dd246f40b774a9a310dda5f6914_tn-4163422921.jpeg,102400,2699.2246,1002.6830722723961,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00a92503bd050e86490d3632a3f7b39a_tn-3395319353.jpeg,102400,1766.1545,1038.7437009612086,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00adbcca2d7239be067f2620bc3830b0_tn-20041486960.jpeg,102400,388.07358,923.1583535231589,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00b6b34014160e6d7296f307774d7bb7_tn-4731710609.jpeg,102400,649.6418,595.9319140380861,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00babae373af24e8abc79e6af2071e1d_tn-13002166792.jpeg,102400,855.7282,3789.7031734633447,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00c6ef4b88f3c5418b8b3996643dec8d_tn-18610117975.jpeg,102400,1146.5709,592.1526632839202,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\00f8e793d5617186c855225d8a9ab692_tn-13632987824.jpeg,102400,1341.8395,1074.3630692168235,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\0155929636449f2b65c6cc4eafbe3bed_tn-7919174660.jpeg,102400,1198.2684,2423.897470249081,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\018c02cd68ebc5102774ca8588c00a74_tn-4417628263.jpeg,102400,1347.9872,1289.4840917548179,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01a2c8597237809acfe039b02bee39da_tn-12528218792.jpeg,102400,3558.461,634.6161978816987,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01aacddfe6c4b4390c9d79e7040320df_tn-17049658027.jpeg,102400,1507.8613,4774.971967940903,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01c0dc2a36a83e5afb771dcb18cd558a_tn-14715854398.jpeg,102400,487.7623,1497.0862303710935,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01c0e5b5ef387fac5c857bed7bb6bb24_tn-15138145665.jpeg,102400,3565.3652,3295.41887695074,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01c8b62e3748b554c018477dbd7e5877_tn-5342634956.jpeg,102400,2496.37,1966.0467370544432,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01c9adcd04c1506d876159d502060f97_tn-18442480499.jpeg,102400,4028.9233,2956.758154294491,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01cbb9b08142eef7acd52e151c1bac4c_tn-8845321734.jpeg,102400,1190.2393,5497.567341891384,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01d40ccc43280eeaa03f59fde5a82527_tn-3212524207.jpeg,102400,2211.7866,769.9525625411032,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01d429aa2b68e00b0969e61a65e625ec_tn-3958573572.jpeg,102400,886.637,1401.8695522457122,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01d8c2c409bd3e0e0b632ffd62031ac9_tn-5580328468.jpeg,102400,2635.1233,1727.4854318915368,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01d9272384ea568b434d56b9e7fa7543_tn-12636792171.jpeg,102400,2602.9763,2729.3561425620082,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01dd210e0bde12f735fd4f07a9f5f3e3_tn-6315583257.jpeg,102400,653.0994,674.9943514217376,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01ddc567916d1edb21f87cfc0e09ea97_tn-9982354252.jpeg,102400,2802.6816,3239.731738275146,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01e102171304c83ac720936938f77761_tn-18603864081.jpeg,102400,533.2599,4475.781798465633,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01edfacdec8b6ce0824373c2526815ae_tn-7055944697.jpeg,102400,1497.1581,1930.1103163062098,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01efe68b0862cab7426ea830ee356860_tn-19136563965.jpeg,102400,530.11237,767.7557579799651,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01f8ec9a03e9cf6a81fa9712b00a8bcc_tn-3665436291.jpeg,102400,415.75226,1189.585541038513,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01f8ec9a03e9cf6a81fa9712b00a8bcc_tn-4565345762.jpeg,102400,415.75226,1189.585541038513,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01fa1812f7bfa92cb7b00415fa76954c_tn-3069276763.jpeg,102400,2333.7786,4575.350083148098,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01NJYZX1.jpg,92976,765.9826,1593.496852437749,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01W3O65J.jpg,323136,5155.8687,260.8946379457716,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01WVC23I.jpg,55536,620.8297,1713.4576032634704,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\01XZ8GDE.jpg,87048,1250.2439,2611.5708698036883,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\022dbbf1912ce18e3f1a2b87b4298c94_tn-9390789331.jpeg,102400,1464.7954,750.6048925780294,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\0237fa5c0c637b746dddf061497417d0_tn-16059383162.jpeg,102400,1480.8779,2005.8467275649068,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02a15ddf4e0f7c4e5223559147cd65c8_tn-13034753101.jpeg,102400,1983.2109,561.1114667387963,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02a99ceeb2790de0fd44a006eb79dda3_tn-20628621624.jpeg,102400,719.80347,1875.1523735824583,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02af4460eba66e2ea5e0467a50f6e149_tn-14426998803.jpeg,102400,904.8599,4482.754413842774,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02bc33eb53b8aa0f3737e372d1fca86b_tn-21242025025.jpeg,102400,592.52094,1264.3321615172385,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02c0f93130b483b9df42d42a94a7ed40_tn-13342294047.jpeg,102400,537.5349,2550.7422894743927,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02c2803e1c94da2a8eb4cd137afe7965_tn-3353241547.jpeg,102400,586.56915,1323.4002257002833,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02c752bc580a05ddc5b51275f16324fe_tn-8080649613.jpeg,102400,1622.8767,2877.5889357413294,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02c880d7c70891e80e376964f82056d1_tn-3110996000.jpeg,102400,245.60399,2444.371574035263,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02db6444a67a810c92745c59ca458af5_tn-6159119620.jpeg,102400,322.97256,832.6696450710297,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02df99b3a0e13ce5a820fcb90fb73bbe_tn-19837114655.jpeg,102400,407.4648,2396.70364898529,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02edace5d1c478c760c06169a916646f_tn-6487023109.jpeg,102400,620.4132,4852.068903062439,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02f01b60aa86e236632694efe3ae5d30_tn-108919890.jpeg,102400,1196.8595,4346.160140200711,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02f162c2b793761498c358fc00be7170_tn-4841359741.jpeg,102400,500.3347,2811.08622672081,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02f6d3d4f1774980a21384fd100d1cc9_tn-13081297955.jpeg,102400,404.7598,1759.5672296973228,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02f7cebf10de1d207c6ec25190d76257_tn-1774495774.jpeg,102400,516.80615,885.4006024718283,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02fd0b1bea71d8dcdf5440aff36f68c2_tn-2910668430.jpeg,102400,1608.442,1276.69640625,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02KQ63TP.jpg,92664,1585.325,1117.6313553756572,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02MCXC6J.jpg,74568,738.8092,2089.6739559324574,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\02TJ8Y0K.jpg,65208,466.23956,2650.0874332304707,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\032a7db317bb38fe53dea46d79205236_tn-2141340778.jpeg,102400,339.57404,2266.139317510128,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03a1f3a3227be2497c36a289052e1db8_tn-17982472930.jpeg,102400,687.35126,3986.4352245589253,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03a7ca00f0e5708b887a0e893269a560_tn-5992662793.jpeg,102400,3530.15,223.1593349838257,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03a8b9921776b3e76d0116fd151faca3_tn-9206401492.jpeg,102400,420.12927,3510.1417080115316,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03b068216b86b79bf04afc331eb4fb0c_tn-2379044270.jpeg,102400,3196.2942,758.31552734375,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03b1d6afd873a28bc9237d507af44e28_tn-14212177853.jpeg,102400,1064.0238,1463.3247446151734,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03bf7472e6a23976a89b60e46e8a0504_tn-1906987933.jpeg,102400,2085.84,425.8585902174949,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03c79f1f868ad232aad13802a1482147_tn-1501027314.jpeg,102400,1453.1047,1488.2040526427268,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03cd5e2b4af716cff6be1ae190aa2935_tn-12907329267.jpeg,102400,1111.3358,704.783095661068,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03df8d39b14436c5befe974e583f09ef_tn-5436397164.jpeg,102400,2020.4899,3815.5211919928547,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03e0e980e63c67d26462a15744993475_tn-12713101349.jpeg,102400,727.64954,2257.6977280868527,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03e3c3e60ccb2ff469ac7151182ff836_tn-21129238910.jpeg,102400,1992.9559,2036.981793609238,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03e589848450cdd4d535807f24a15749_tn-4365261945.jpeg,102400,1617.0686,397.620056616211,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03f11c375ee1d1e063331484372cab46_tn-15447535214.jpeg,102400,738.5943,2981.0857006221772,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\03f9f135385578c1d7361c4ab53c7354_tn-7433009816.jpeg,102400,531.1767,4302.847920370102,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\045e48c20e8e8ba84a7afae36d2c6ac2_tn-20251225757.jpeg,102400,1786.3329,6392.519352897548,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\049f6fdeea99483e63138a8264423de3_tn-15222257410.jpeg,102400,230.16084,4161.5779363051415,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04a37c1574bfc0b08fb7f6f488ba7c2b_tn-17402206792.jpeg,102400,2410.6794,4441.506209945297,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04be01e64cb6001b0fc327539b72ad5e_tn-15267820929.jpeg,102400,1454.6089,1823.0914393520354,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04c623ecf24b76b04b273958efc819b1_tn-10887174380.jpeg,102400,764.71136,1573.940311672592,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04cc17df48d53e284fdff95a51d05ac7_tn-2964933344.jpeg,102400,142.86926,5265.596412547207,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04d194f3a935f0173bb80942929f5a69_tn-5156020061.jpeg,102400,2106.1763,1533.0141721054076,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04e07a45028a173af739da115327301f_tn-7874325442.jpeg,102400,1765.4729,378.85693359375,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04ec355029930076a7a8a28af34f2841_tn-20841830002.jpeg,102400,464.99707,2033.841286275387,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\04fe30dc9d3224131765d71378177792_tn-7657176435.jpeg,102400,180.93576,1839.8035157088277,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\0537ZWnaG9Pw4UEps4o9X6Q-45..v1665089685.jpg,2073600,3026.4915,1070.6735234180755,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05ad91c1fdad0c6879f0f16cfdfafb49_tn-3004095210.jpeg,102400,719.0007,268.5328556036949,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05c9201bc77aeb638193bc5ceec1afe6_tn-254196211.jpeg,102400,3105.9722,506.504296875,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05ca5b308c40f2239a7c07582c4e7a70_tn-14229447323.jpeg,102400,1797.6406,2608.686274639034,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05cc500a3f2dce7e85867549281e723f_tn-21820130192.jpeg,102400,546.9012,3383.8489221157074,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05d07aaae28f9d9ea2ae1f7eed150229_tn-12555456196.jpeg,102400,1825.0095,881.3283718505857,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05da054ec113d3fba715fae93a470e46_tn-4366436855.jpeg,102400,538.4036,1187.3914994567872,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05da2b32a890bb4fcc7f1394a8c1ebb4_tn-21714408386.jpeg,102400,3109.8396,3361.345263660335,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05e5faca4914784204013ddf534b8907_tn-4849734808.jpeg,102400,245.2279,4512.796542724228,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\05e6e07878e2ace6c20d044169f80eaa_tn-15921841881.jpeg,102400,483.14993,2664.971521543885,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06a6e1e4cba8346d329479c341b2e9df_tn-18835246283.jpeg,102400,1433.5146,1664.2260739196777,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06a8b4617e17801dc8ba0c0bf36a718e_tn-7153540389.jpeg,102400,546.86566,708.8245436214446,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06adebf1fb3e1b1c95f88bfb67627998_tn-5877097569.jpeg,102400,1947.6206,3553.0277718257903,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06c87364380104441b62626d8984cdcc_tn-14075357097.jpeg,102400,1487.5662,5093.659171306991,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06dd7b16ee3c14bfd59b46f64799fe04_tn-13504995770.jpeg,102400,2221.6152,1447.327667312241,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06dedb5d9095cd4602b4deb4a69d3186_tn-5813572854.jpeg,102400,1648.3087,524.9638375807763,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06e0f49df72726d6a3e1d1415b48e866_tn-18152636101.jpeg,102400,1162.3059,457.2417916480064,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\06f9995c0ed24795c2123b71dc923833_tn-7318007172.jpeg,102400,3300.3433,276.945234375,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\07c4322857a6e7b2cdea4c39454ca287_tn-20305294263.jpeg,102400,544.7081,5036.949313247299,düşük kalite
C:/Users/Mkumru/Desktop/veriAnaliziTumResimler\07c8963c51bf45ebf1f592ee12b6bd0d_tn-4638881734.jpeg,102400,2361.2805,2204.7849913692476,düşük kalite
